"code","name","en","cityCode","provinceCode"
"110101","东城区","Dongcheng District","1101","11"
"110102","西城区","Xicheng District","1101","11"
"110105","朝阳区","Chaoyang District","1101","11"
"110106","丰台区","Fengtai District","1101","11"
"110107","石景山区","Shijingshan District","1101","11"
"110108","海淀区","Haidian District","1101","11"
"110109","门头沟区","Mentougou District","1101","11"
"110111","房山区","Fangshan District","1101","11"
"110112","通州区","Tongzhou District","1101","11"
"110113","顺义区","Shunyi District","1101","11"
"110114","昌平区","Changping District","1101","11"
"110115","大兴区","Daxing District","1101","11"
"110116","怀柔区","Huairou District","1101","11"
"110117","平谷区","Pinggu District","1101","11"
"110118","密云区","Miyun District","1101","11"
"110119","延庆区","Yanqing District","1101","11"
"120101","和平区","Zone of peace","1201","12"
"120102","河东区","Hedong District","1201","12"
"120103","河西区","Hexi District","1201","12"
"120104","南开区","Nankai District","1201","12"
"120105","河北区","Hebei District","1201","12"
"120106","红桥区","Hongqiao District","1201","12"
"120110","东丽区","dongli district","1201","12"
"120111","西青区","Xiqing District","1201","12"
"120112","津南区","jinnan district","1201","12"
"120113","北辰区","Beichen District","1201","12"
"120114","武清区","Wuqing District","1201","12"
"120115","宝坻区","Baodi District","1201","12"
"120116","滨海新区","binhai new area","1201","12"
"120117","宁河区","Ninghe District","1201","12"
"120118","静海区","Jinghai District","1201","12"
"120119","蓟州区","Thistle District","1201","12"
"130102","长安区","Changan District","1301","13"
"130104","桥西区","Qiaoxi District","1301","13"
"130105","新华区","Xinhua District","1301","13"
"130107","井陉矿区","Jingxing Mining District","1301","13"
"130108","裕华区","Yuhua District","1301","13"
"130109","藁城区","Gaocheng District","1301","13"
"130110","鹿泉区","Luquan District","1301","13"
"130111","栾城区","Luancheng District","1301","13"
"130121","井陉县","Jingxing County","1301","13"
"130123","正定县","Zhengding County","1301","13"
"130125","行唐县","Xingtang County","1301","13"
"130126","灵寿县","Lingshou County","1301","13"
"130127","高邑县","Gaoyi County","1301","13"
"130128","深泽县","Shenze County","1301","13"
"130129","赞皇县","Zanhuang County","1301","13"
"130130","无极县","Wuji County","1301","13"
"130131","平山县","Pingshan County","1301","13"
"130132","元氏县","Yuanshi County","1301","13"
"130133","赵县","Zhaoxian County","1301","13"
"130171","石家庄高新技术产业开发区","Shijiazhuang high tech Industrial Development Zone","1301","13"
"130172","石家庄循环化工园区","Shijiazhuang recycling chemical industrial park","1301","13"
"130181","辛集市","Xinji","1301","13"
"130183","晋州市","Jinzhou City","1301","13"
"130184","新乐市","Xinle City","1301","13"
"130202","路南区","Lunan District","1302","13"
"130203","路北区","Lubei District","1302","13"
"130204","古冶区","Guye District","1302","13"
"130205","开平区","Kaiping District","1302","13"
"130207","丰南区","fengnan district","1302","13"
"130208","丰润区","Rich area","1302","13"
"130209","曹妃甸区","Caofeidian District","1302","13"
"130223","滦县","Luanxian","1302","13"
"130224","滦南县","Luannan County","1302","13"
"130225","乐亭县","Leting County","1302","13"
"130227","迁西县","Qianxi County","1302","13"
"130229","玉田县","Yutian County","1302","13"
"130271","唐山市芦台经济技术开发区","Tangshan City Lutai economic and Technological Development Zone","1302","13"
"130272","唐山市汉沽管理区","Tangshan City Hangu management area","1302","13"
"130273","唐山高新技术产业开发区","Tangshan high tech Industrial Development Zone","1302","13"
